"","FishID","Species","TagID","TagType","Origin","FishIDs","ProjectID","ReleaseSite","CaptureDate","CaptureLocation","Easting","Northing","ForkLength","TotalLength","LengthUnit","Mass","MassUnit","Alive","Recapture","InitialRelease","Sex","Interorbital","InsideMouth","OutsideMouth","DorsalScore","CaudalScore","FinClipObs","Surgeon","VIE","DevelopmentalStage","StockingMark1","StockingMark2","FinClip","ScaleSample","SensorType","SensorIDCode","SensorCodeSpace","System","Notes"
"60","SNS-2008-093","SNS","1268224","Acoustic","Wild","Carlin: 32197; FLOY: 53129; Genetic ID: G-298; Photo ID: 17-070;","Sturgeon-PNR","Penobscot River",2016-11-23,"Penobscot River",522534,4963098,79,92,"cm",4,"kg",1,1,0,"TT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"61","SNS-2008-093","SNS","1268224","Acoustic","Wild","Carlin: 32197; FLOY: 53129; Genetic ID: G-298; Photo ID: 17-070;","Sturgeon-PNR","Penobscot River",2017-09-13,"Penobscot",512931,4949940,85,98,"cm",5.4,"kg",1,1,0,"",61,49,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"62","SNS-2008-093","SNS","1268224","Acoustic","Wild","Carlin: 32197; FLOY: 53129; Genetic ID: G-298; Photo ID: 17-070;","Sturgeon-PNR","Penobscot River",2018-08-16,"Penobscot",513241,4951878,86,101,"cm",6.5,"kg",1,1,0,"",61,49,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"63","SNS-2009-042","SNS","1068449","Acoustic","Wild","Carlin: 32295; FLOY: 53383; Genetic ID: G-417; Photo ID: 17-016;","Sturgeon-PNR","Penobscot River",2017-06-29,"Penobscot",513661,4954687,98,118,"cm",7.3,"kg",1,1,0,"U",69,48,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"64","SNS-2009-084","SNS","1221722","Acoustic","Wild","Carlin: 32333; FLOY: 102366; Genetic ID: G-457; Photo ID: 15-166;","Sturgeon-PNR","Penobscot River",2015-10-09,"Penobscot River",520289,4961984,89,104,"cm",7,"kg",1,1,0,"LF",66,54,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"65","SNS-2009-103","SNS","1063717","Acoustic","Wild","Carlin: 32354; FLOY: 102342; Genetic ID: G-481; Photo ID: 13-022;","Sturgeon-PNR","Penobscot River",2016-11-30,"Penobscot River",522391,4963114,87,97,"cm",5.35,"kg",1,1,0,"LF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"66","SNS-2009-103","SNS","1063717","Acoustic","Wild","Carlin: 32354; FLOY: 102342; Genetic ID: G-481; Photo ID: 13-022;","Sturgeon-PNR","Penobscot River",2018-11-08,"Penobscot",516781,4957731,87,98,"cm",4.45,"kg",1,1,0,"",61,43,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"67","SNS-2009-116","SNS","1098603","Acoustic","Wild","Carlin: 32985; FLOY: 102700; Genetic ID: G-494; Photo ID: 15-120;","Sturgeon-PNR","Penobscot River",2015-09-23,"Penobscot River",517178,4958274,90,105,"cm",5.9,"kg",1,1,0,"EF",67,44,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"68","SNS-2009-134","SNS","1194443","Acoustic","Wild","FLOY: 102729; Genetic ID: G-524; Photo ID: 15-022;","Sturgeon-PNR","Penobscot River",2015-07-09,"Penobscot River",514972,49467723,87,98,"cm",7.15,"kg",1,1,0,"EF",64,50,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
"69","SNS-2010-111","SNS","1268222","Acoustic","Wild","Carlin: 33037; FLOY: 53326; Genetic ID: G-655; Photo ID: 17-062;","Sturgeon-PNR","Penobscot River",2017-09-12,"Penobscot",513008,4949613,83,95,"cm",5.6,"kg",1,1,0,"",61,48,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penobscot",""
