FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
AST-2009-018,AST,1074914,Acoustic,Wild,"FLOY: 100051; Genetic ID: G-368; Photo ID: 09-024;",Sturgeon-PNR,"Penobscot River","2009-08-04 00:00:00","Penobscot River",,,121,140,cm,16.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-019,AST,1074916,Acoustic,Wild,"FLOY: 100066; Genetic ID: G-370; Photo ID: 10-030;",Sturgeon-PNR,"Penobscot River","2009-08-04 00:00:00","Penobscot River",,,111,127,cm,13.0,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-019,AST,1074916,Acoustic,Wild,"FLOY: 100066; Genetic ID: G-370; Photo ID: 10-030;",Sturgeon-PNR,"Penobscot River","2010-08-02 00:00:00","Penobscot River",514536,4947977,119,139,cm,15.0,kg,1,1,0,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-021,AST,1074915,Acoustic,Wild,"FLOY: 100060; Genetic ID: G-369; Photo ID: 10-019;",Sturgeon-PNR,"Penobscot River","2009-08-04 00:00:00","Penobscot River",,,111,130,cm,13.5,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-021,AST,1074915,Acoustic,Wild,"FLOY: 100060; Genetic ID: G-369; Photo ID: 10-019;",Sturgeon-PNR,"Penobscot River","2010-07-21 00:00:00","Penobscot River",514647,4947484,116,135,cm,13.0,kg,1,1,0,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2009-023,AST,1074917,Acoustic,Wild,"FLOY: 100053; Genetic ID: G-371; Photo ID: 09-027;",Sturgeon-PNR,"Penobscot River","2009-08-04 00:00:00","Penobscot River",,,134,158,cm,21.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-001,AST,1074918,Acoustic,Wild,"FLOY: 100084; Genetic ID: G-533; Photo ID: 10-002;",Sturgeon-PNR,"Penobscot River","2010-06-07 00:00:00","Penobscot River",514784,4947184,122,144,cm,18.0,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-003,AST,1074919,Acoustic,Wild,"FLOY: 100062; Genetic ID: G-534; Photo ID: 10-003;",Sturgeon-PNR,"Penobscot River","2010-06-09 00:00:00","Penobscot River",514741,4946960,103,121,cm,10.5,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-008,AST,1074920,Acoustic,Wild,"FLOY: 100058; Genetic ID: G-543; Photo ID: 10-013;",Sturgeon-PNR,"Penobscot River","2010-07-09 00:00:00","Penobscot River",514630,4947914,119,138,cm,15.5,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-009,AST,1074921,Acoustic,Wild,"FLOY: 100068; Genetic ID: G-544; Photo ID: 10-014;",Sturgeon-PNR,"Penobscot River","2010-07-09 00:00:00","Penobscot River",514630,4947914,141,159,cm,22.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-011,AST,1097368,Acoustic,Wild,"FLOY: 100088; Genetic ID: G-546; Photo ID: 10-016;",Sturgeon-PNR,"Penobscot River","2010-07-20 00:00:00","Penobscot River",514599,4947577,125,145,cm,16.5,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2010-015,AST,1075896,Acoustic,Wild,"FLOY: 100094; Genetic ID: G-558; Photo ID: 10-033;",Sturgeon-PNR,"Penobscot River","2010-08-02 00:00:00","Penobscot River",514637,4947922,126,144,cm,19.0,kg,1,0,1,,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2011-004,AST,1099507,Acoustic,Wild,"FLOY: 100489; Genetic ID: G-677; Photo ID: 11-010;",Sturgeon-PNR,"Penobscot River","2011-06-28 00:00:00","Penobscot River",514113,4948320,124,144,cm,18.0,kg,1,0,1,U,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2011-011,AST,1099515,Acoustic,Wild,"FLOY: 100481; Genetic ID: G-722; Photo ID: 11-041;",Sturgeon-PNR,"Penobscot River","2011-07-28 00:00:00","Penobscot River",514756,4947058,141,164,cm,24.0,kg,1,0,1,TT,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2014-003,AST,1168206,Acoustic,Wild,"FLOY: 100999; Genetic ID: G-1093;",Sturgeon-PNR,"Penobscot River","2014-09-01 00:00:00","Penobscot River",,,100,112,cm,,kg,1,0,1,,,,,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-001,AST,1268734,Acoustic,Wild,"FLOY: 53399; Genetic ID: G-1501; Photo ID: 17-032;",Sturgeon-PNR,"Penobscot River","2017-07-14 00:00:00",Penobscot,514534,4947641,140,170,cm,21.300000000000001,kg,1,0,1,U,110,51,79,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-002,AST,1268735,Acoustic,Wild,"FLOY: 53400; Genetic ID: G-1502; Photo ID: 17-033;",Sturgeon-PNR,"Penobscot River","2017-07-14 00:00:00",Penobscot,514534,4947641,148,171,cm,25.300000000000001,kg,1,0,1,U,114,55,82,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-004,AST,1268731,Acoustic,Wild,"FLOY: 53317; Genetic ID: G-1517; Photo ID: 17-052;",Sturgeon-PNR,"Penobscot River","2017-08-23 00:00:00",Penobscot,512995,4949601,90,107,cm,6.5999999999999996,kg,1,0,1,TT,69,39,53,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-006,AST,1268733,Acoustic,Wild,"FLOY: 53321; Genetic ID: G-1520; Photo ID: 17-056;",Sturgeon-PNR,"Penobscot River","2017-09-06 00:00:00",Penobscot,512984,4949616,70,80,cm,2.8999999999999999,kg,1,0,1,TT,52,25,35,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-006,AST,1268733,Acoustic,Wild,"FLOY: 53321; Genetic ID: G-1520; Photo ID: 17-056;",Sturgeon-PNR,"Penobscot River","2018-09-13 00:00:00",Penobscot,512950,4949689,86,97,cm,5.5499999999999998,kg,1,1,0,,63,35,44,,,,,,,,,,,,NA,NA,Penobscot,
AST-2017-008,AST,1268732,Acoustic,Wild,"FLOY: 53328; Genetic ID: G-1523; Photo ID: 17-064;",Sturgeon-PNR,"Penobscot River","2017-09-12 00:00:00",Penobscot,513008,4949613,130,154,cm,19.199999999999999,kg,1,0,1,TT,96,49,73,,,,,,,,,,,,NA,NA,Penobscot,
AST-2018-005,AST,1299384,Acoustic,Wild,"FLOY: 54345; Genetic ID: G-1792; Photo ID: 18-045;",Sturgeon-PNR,"Penobscot RIver","2018-07-19 00:00:00",Penobscot,512941,4949677,79,91,cm,4.3499999999999996,kg,1,0,1,,63,32,43,,,,,,,,,,,,NA,NA,Penobscot,
AST-2018-006,AST,1299381,Acoustic,Wild,"FLOY: 54351; Genetic ID: G-1798; Photo ID: 18-051;",Sturgeon-PNR,"Penobscot RIver","2018-07-20 00:00:00",Penobscot,512910,4949717,87,102,cm,6.0999999999999996,kg,1,0,1,TT,69,35,49,,,,,,,,,,,,NA,NA,Penobscot,
AST-2018-007,AST,1299385,Acoustic,Wild,"FLOY: 54352; Genetic ID: G-1799; Photo ID: 18-052;",Sturgeon-PNR,"Penobscot RIver","2018-07-20 00:00:00",Penobscot,512910,4949717,93,108,cm,6.4000000000000004,kg,1,0,1,TT,71,40,50,,,,,,,,,,,,NA,NA,Penobscot,
AST-2018-008,AST,1299382,Acoustic,Wild,"FLOY: 54353; Genetic ID: G-1800; Photo ID: 18-053;",Sturgeon-PNR,"Penobscot RIver","2018-07-20 00:00:00",Penobscot,512910,4949717,88,103,cm,6.0999999999999996,kg,1,0,1,TT,69,37,51,,,,,,,,,,,,NA,NA,Penobscot,
AST-2018-010,AST,1299383,Acoustic,Wild,"FLOY: 54390; Genetic ID: G-1823; Photo ID: 18-084;",Sturgeon-PNR,"Penobscot RIver","2018-09-13 00:00:00",Penobscot,512950,4949689,145,172,cm,30.800000000000001,kg,1,0,1,,121,56,82,,,,,,,,,,,,NA,NA,Penobscot,
AST-2019-026,AST,A69-2801-201249,Acoustic,Wild,"FLOY: 54566; Genetic ID: G-1910; Photo ID: 19-095;",Sturgeon-PNR,"Penobscot River","2019-07-30 00:00:00",Penobscot,514772,4947174,159,189,cm,31.800000000000001,kg,1,0,1,U,131,58,92,,,,,,,,,,,,NA,NA,Penobscot,
AST-2019-026,AST,A69-2801-201249,Acoustic,Wild,"FLOY: 54566; Genetic ID: G-1910; Photo ID: 19-095;",Sturgeon-PNR,"Penobscot River","2025-08-18 00:00:00","The Spindle",514494,4948116,176,210,cm,,g,1,1,0,UNK,176,69,112,,,,,,,,,,,,NA,NA,Penobscot,"GIRTH 78CM"
   
