"Event","Species","Rearing_Origin","Stage","System","Encounter_Time_zone","Encounter_Timestamp","Encounter_Location","Encounter_Easting","Encounter_Northing","Encounter_UTMZone","Encounter_Disposition","Release_Status","Release_Timezone","Release_Timestamp","Release_Location","Release_Easting","Release_Northing","TagType","TagManufacturer","TagModel","TagSerialNumber","EstTagLife","Acoustic_ID","Acoustic_Sensor_type","Acoustic_.Sensor_idcode","Acoustic_Sensor_value","PIT_ID","Radio_ID","Radio_Freq","Radio_BurstRate","External_TagID","Mark.Observed","Mark.Applied","VIE","ForkLength..cm.","TotalLength..cm.","Mass..g.","Sex","STRG_Interorbital.mm.","STRG_InsideMouth.mm.","STRG_OutsideMouth.mm.","Notes","Operator.s."
"Intial capture","SNS","Wild",,"Penobscot","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/17/2025 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645273,"2560","A69-2801-201227",,,,,,,,,"None","None","None",96,114.6,,,66.5,50.4,69.2,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645283,"2560","A69-2801-201237",,,,,,,,,"None","None","None",115.4,130.8,,,93.1,41,69,,"JZ,SE"
"Recapture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645295,"2560","A69-2801-201249",,,,,,,,,"None","None","None",176.2,210,,,176,69,112,"GIRTH 78CM","JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645294,"2560","A69-2801-201248",,,,,,,,,"None","None","None",102.6,116.8,,,81,41,58,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645299,"2560","A69-2801-201253",,,,,,,,,"None","None","None",109.4,120.2,,,92,42,63,,"JZ,SE"
"Intial capture","AST","Wild",,"Penobscot","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"19","Live","Yes","Eastern","08/18/2026 00:00","The Spindle",514494,4948116,"Acoustic","Innovosea","V16-4x-BLU-1",1645296,"2560","A69-2801-201250",,,,,,,,,"None","None","None",120,143.1,,,96,48,73,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F8C",,,,,"None","None","None",138,158,,,102,33.7,61,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F8D",,,,,"None","None","None",156,179,,,138,61,101,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F93",,,,,"None","None","None",116,179,,,138,41.6,71.3,,"JZ,SE"
"Intial capture","AST","Wild",,"Kennebec","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"19","Live","Yes","Eastern","07/29/2025 00:00","Gardiner",438716,4899033,"PIT",,,,,,,,,"3DD.003E185F8F",,,,,"None","None","None",174.2,194.7,,,,53,87,,"JZ,SE"
